income,code
51113,US-AL
72231,US-AK
61125,US-AZ
48829,US-AR
69759,US-CA
74172,US-CO
72780,US-CT
62318,US-DE
83382,US-DC
53681,US-FL
57016,US-GA
73575,US-HI
60208,US-ID
64609,US-IL
58873,US-IN
63481,US-IA
57872,US-KS
51348,US-KY
43903,US-LA
51664,US-ME
81084,US-MD
73227,US-MA
57700,US-MI
71920,US-MN
43441,US-MS
56885,US-MO
59087,US-MT
59619,US-NE
56550,US-NV
74801,US-NH
72997,US-NJ
47855,US-NM
62447,US-NY
50343,US-NC
59886,US-ND
59768,US-OH
55006,US-OK
64610,US-OR
63173,US-PA
66390,US-RI
54971,US-SC
56894,US-SD
55240,US-TN
59295,US-TX
71319,US-UT
63805,US-VT
71293,US-VA
75418,US-WA
45392,US-WV
63451,US-WI
57837,US-WY
