income,code
40805,US-AL
57179,US-AK
42280,US-AZ
41046,US-AR
59796,US-CA
54646,US-CO
71823,US-CT
49673,US-DE
79989,US-DC
47684,US-FL
44145,US-GA
52787,US-HI
41826,US-ID
54203,US-IL
45150,US-IN
47062,US-IA
48559,US-KS
40597,US-KY
43660,US-LA
46455,US-ME
60847,US-MD
67630,US-MA
46201,US-MI
54359,US-MN
36636,US-MS
44978,US-MO
45385,US-MT
50809,US-NE
46159,US-NV
59668,US-NH
64537,US-NJ
39811,US-NM
64540,US-NY
44222,US-NC
52269,US-ND
46732,US-OH
44376,US-OK
48137,US-OR
53300,US-PA
52786,US-RI
41633,US-SC
48818,US-SD
45517,US-TN
47362,US-TX
43459,US-UT
52225,US-VT
55105,US-VA
57896,US-WA
38479,US-WV
48941,US-WI
57346,US-WY
